Category,Precision,Recall,F1,Accuracy,AUC
methods_of_building_qubits,0.7721518987341772,0.7625,0.7672955974842767,0.815,0.9113020833333333
addressing_obstacles,0.3157894736842105,0.26666666666666666,0.2891566265060241,0.705,0.6220788530465949
quantum_computing_model,0.47540983606557374,0.6170212765957447,0.537037037037037,0.75,0.754276178556529
quantum_algorithms,0.7246376811594203,0.6410256410256411,0.6802721088435374,0.765,0.8276586801176966
quantum_programming,0.4,0.16666666666666666,0.23529411764705882,0.935,0.8435283687943262
macro_avg,0.5375977779286764,0.4907760501909437,0.5018110975035868,0.465,0.791768832769696
micro_avg,0.6111111111111112,0.5877862595419847,0.5992217898832685,0.465,0.8325523904094002
